Время (с),Координата X (м),Координата Y (м),Координата Z (м)
355800.0,20823397.206966683,15977001.156271923,-4081813.1012858604
355860.0,20787430.146922894,15974935.230444333,-4268633.633078691
355920.0,20750248.497821085,15972271.842318743,-4455127.220146305
355980.0,20711849.206902888,15969021.7812364,-4641279.577361302
356040.0,20672229.386090677,15965195.896266103,-4827076.445615224
356100.0,20631386.31266774,15960805.09413844,-5012503.5929124225
356160.0,20589317.429931715,15955860.337169493,-5197546.815461747
356220.0,20546020.347819377,15950372.64117695,-5382191.938766049
356280.0,20501492.84350442,15944353.073386667,-5566424.8187095
356340.0,20455732.861966662,15937812.750331823,-5750231.342642561
356400.0,20408738.516533136,15930762.83574444,-5933597.4304646235
356460.0,20360508.089391645,15923214.538438704,-6116509.035704049
356520.0,20311040.03207507,15915179.110188501,-6298952.146595807
356580.0,20260332.965918325,15906667.843597122,-6480912.787156378
356640.0,20208385.682485994,15897692.069961794,-6662377.018255756
356700.0,20155197.143972073,15888263.157131456,-6843330.93868704
356760.0,20100766.483570892,15878392.507359507,-7023760.686232629
356820.0,20045093.005819082,15868091.555151599,-7203652.438727926
356880.0,19988176.186909255,15857371.765108207,-7382992.41512164
356940.0,19930015.674974907,15846244.629762871,-7561766.876532971
357000.0,19870611.290346112,15834721.667416792,-7739962.127305778
357060.0,19809963.02577641,15822814.419969779,-7917564.516059208
357120.0,19748071.046641234,15810534.450747345,-8094560.436735125
357180.0,19684935.69110661,15797893.342325874,-8270936.3296418805
357240.0,19620557.470269747,15784902.694354277,-8446678.682494631
357300.0,19554937.06826958,15771574.121374618,-8621774.031452073
357360.0,19488075.34236929,15757919.250639983,-8796208.962149374
357420.0,19419973.323009048,15743949.719931679,-8969970.11072734
357480.0,19350632.213829774,15729677.175375456,-9143044.16485771
357540.0,19280053.39166827,15715113.269256502,-9315417.86476455
357600.0,19208238.406522557,15700269.657835193,-9487078.004241478
357660.0,19135188.98148886,15685157.999161988,-9658011.431664968
357720.0,19060907.012668796,15669789.950893909,-9828205.051003274
357780.0,18985394.569048017,15654177.16811104,-9997645.822821384
357840.0,18908653.892345734,15638331.301134814,-10166320.765281128
357900.0,18830687.396834765,15622263.993348256,-10334216.955137398
357960.0,18751497.66913328,15605986.879017415,-10501321.528729573
358020.0,18671087.467966814,15589511.581116404,-10667621.682968471
358080.0,18589459.723902177,15572849.709154084,-10833104.676318593
358140.0,18506617.539051607,15556012.85700509,-10997757.829775613
358200.0,18422564.186748847,15539012.60074339,-11161568.527839238
358260.0,18337303.11119577,15521860.49648086,-11324524.219481012
358320.0,18250837.927080944,15504568.078209095,-11486612.419107212
358380.0,18163172.41916865,15487146.855647098,-11647820.70751687
358440.0,18074310.54186034,15469608.312092956,-11808136.732854415
358500.0,17984256.418726735,15451963.90228172,-11967548.211557373
358560.0,17893014.342011694,15434225.050249085,-12126042.929298716
358620.0,17800588.772107963,15416403.147200681,-12283608.74192402
358680.0,17706984.337004192,15398509.549388852,-12440233.576383015
358740.0,17612205.83170429,15380555.575995386,-12595905.431655888
358800.0,17516258.21761804,15362552.507022597,-12750612.3796739
358860.0,17419146.62192437,15344511.581191147,-12904342.566234512
358920.0,17320876.33690622,15326443.993846532,-13057084.211910805
358980.0,17221452.819257718,15308360.894874007,-13208825.612955106
359040.0,17120881.689364128,15290273.386621637,-13359555.142196858
359100.0,17019168.73055347,15272192.521833444,-13509261.24993458
359160.0,16916319.888321634,15254129.30159108,-13657932.464821858
359220.0,16812341.269529138,15236094.67326632,-13805557.394747458
359280.0,16707239.14157186,15218099.528482806,-13952124.727709139
359340.0,16601019.931523744,15200154.701089315,-14097623.232681423
359400.0,16493690.225253493,15182270.965143021,-14242041.760477183
359460.0,16385256.766513608,15164459.032904966,-14385369.244602932
359520.0,16275726.456003852,15146729.552846253,-14527594.702107653
359580.0,16165106.350407587,15129093.107666831,-14668707.234425347
359640.0,16053403.661401836,15111560.212326566,-14808696.028211078
359700.0,15940625.754642047,15094141.312088404,-14947550.356170353
359760.0,15826780.148719737,15076846.780575406,-15085259.5778821
359820.0,15711874.514095597,15059686.917840164,-15221813.140614804
359880.0,15595916.67200603,15042671.948448854,-15357200.580135945
359940.0,15478914.593345042,15025812.019578407,-15491411.521514755
360000.0,15360876.397520652,15009117.199128577,-15624435.679917924
360060.0,15241810.35128597,14992597.473848686,-15756262.861398617
360120.0,15121724.867546186,14976262.747478992,-15886882.96367826
360180.0,15000628.50414046,14960122.83890754,-16016285.976921517
360240.0,14878529.962599471,14944187.480342798,-16144461.98450414
360300.0,14755438.08687893,14928466.315502206,-16271401.163773386
360360.0,14631361.86206908,14912968.897816617,-16397093.786801653
360420.0,14506310.413080193,14897704.688652037,-16521530.221132565
360480.0,14380293.003305197,14882683.055547379,-16644700.930519747
360540.0,14253319.033258101,14867913.270470282,-16766596.475658277
360600.0,14125398.039190127,14853404.508089717,-16887207.514908794
360660.0,13996539.691682609,14839165.844066782,-17006524.805013876
360720.0,13866753.794217195,14825206.253363682,-17124539.201807093
360780.0,13736050.281724257,14811534.608570587,-17241241.660914313
360840.0,13604439.219108308,14798159.678251885,-17356623.23844747
360900.0,13471930.799752664,14785090.125310618,-17470675.091690425
360960.0,13338535.344001245,14772334.505373025,-17583388.479777377
361020.0,13204263.297620138,14759901.265191818,-17694754.764363192
361080.0,13069125.230237547,14747798.741069753,-17804765.410285927
361140.0,12933131.83376269,14736035.157303348,-17913411.98622153
361200.0,12796293.920784775,14724618.62464644,-18020686.165330544
361260.0,12658622.422950998,14713557.138795076,-18126579.725896735
361320.0,12520128.389325326,14702858.578892553,-18231084.551957663
361380.0,12380822.984726492,14692530.706056379,-18334192.633927315
361440.0,12240717.488047808,14682581.161925826,-18435896.069210283
361500.0,12099823.290556572,14673017.467231976,-18536187.06280801
361560.0,11958151.894175528,14663847.020388866,-18635057.927916702
361620.0,11815714.909745192,14655077.096107522,-18732501.086516805
361680.0,11672524.055268202,14646714.844031781,-18828509.069954414
361740.0,11528591.154135574,14638767.287397077,-18923074.519514035
361800.0,11383928.133335099,14631241.321712159,-19016190.186983034
361860.0,11238547.021642646,14624143.713463526,-19107848.93520775
361920.0,11092459.947796097,14617481.098843668,-19198043.738640785
361980.0,10945679.138652831,14611259.982502341,-19286767.68388008
362040.0,10798216.91733037,14605486.736322135,-19374013.970199116
362100.0,10650085.701331355,14600167.598217465,-19459775.910068635
362160.0,10501298.000652172,14595308.67095818,-19544046.92966973
362220.0,10351866.415876346,14590915.921017436,-19626820.569398053
362280.0,10201803.636253128,14586995.177443882,-19708090.484359354
362340.0,10051122.437760225,14583552.130759178,-19787850.444856353
362400.0,9899835.681153191,14580592.331879832,-19866094.33686659
362460.0,9747956.309999667,14578121.191064857,-19942816.162511528
362520.0,9595497.34870045,14576143.97688815,-20018010.04051674
362580.0,9442471.900496477,14574665.815236991,-20091670.206663143
362640.0,9288893.145463286,14573691.688335659,-20163791.014229275
362700.0,9134774.338491682,14573226.43379549,-20234366.934424613
362760.0,8980128.807257026,14573274.743690468,-20303392.556813795
362820.0,8824969.950175522,14573841.16365931,-20370862.589731827
362880.0,8669311.234348929,14574930.092033923,-20436771.860690136
362940.0,8513166.19349811,14576545.77899407,-20501115.31677359
363000.0,8356548.425884948,14578692.32574912,-20563888.02502826
363060.0,8199471.592224229,14581373.683746127,-20625085.17284005
363120.0,8041949.4135839855,14584593.65390533,-20684702.068304162
363180.0,7883995.669277252,14588355.88588225,-20742734.140585177
363240.0,7725624.194742949,14592663.877357287,-20799176.940268002
363300.0,7566848.879417874,14597520.973352669,-20854026.139699463
363360.0,7407683.664600059,14602930.365576487,-20907277.53332055
363420.0,7248142.541302762,14608895.091794783,-20958927.0379894
363480.0,7088239.54810105,14615418.035230806,-21008970.69329481
363540.0,6927988.76896982,14622501.923992509,-21057404.661860418
363600.0,6767404.331114964,14630149.330527442,-21104225.22963942
